TransactionId,BookId,ReservationDate,CheckoutDate,ReturnDate,MemberId
1,1,---,10/08/2018,10/09/2018,5677
2,1,---,11/09/2018,07/10/2018,3422
3,1,---,08/10/2018,---,3532
4,1,09/10/2018,08/10/2018,---,1234
5,2,---,10/08/2018,10/09/2018,5677
6,2,---,11/09/2018,07/10/2018,3422
7,2,---,08/10/2018,---,3532
8,2,09/10/2018,08/10/2018,---,1234
9,2,09/10/2018,08/10/2018,20/11/2018,1234
10,3,---,10/08/2018,10/09/2018,5677
11,3,---,11/09/2018,07/10/2018,3422
12,3,---,08/10/2018,---,3532
13,3,09/10/2018,08/10/2018,---,1234
14,3,09/10/2018,08/10/2018,20/11/2018,1234
15,4,---,10/08/2018,10/09/2018,5677
16,4,---,11/09/2018,07/10/2018,3422
17,4,---,08/10/2018,---,3532
18,4,09/10/2018,08/10/2018,---,1234
19,4,09/10/2018,08/10/2018,20/11/2018,1234
20,5,---,10/08/2018,10/09/2018,5677
21,5,---,11/09/2018,07/10/2018,3422
22,5,---,08/10/2018,---,3532
23,5,09/10/2018,08/10/2018,---,1234
24,5,09/10/2018,08/10/2018,20/11/2018,1234
25,6,---,10/08/2018,10/09/2018,5677
26,6,---,11/09/2018,07/10/2018,3422
27,6,---,08/10/2018,---,3532
28,6,09/10/2018,08/10/2018,---,1234
29,6,09/10/2018,08/10/2018,20/11/2018,1234
30,7,---,10/08/2018,10/09/2018,5677
31,7,---,11/09/2018,07/10/2018,3422
32,7,---,08/10/2018,---,3532
33,7,09/10/2018,08/10/2018,---,1234
34,7,09/10/2018,08/10/2018,20/11/2018,1234
35,15,---,10/08/2018,10/09/2018,5677
36,15,---,11/09/2018,07/10/2018,3422
37,15,---,08/10/2018,---,3532
38,15,09/10/2018,08/10/2018,---,1234
39,15,09/10/2018,08/10/2018,20/11/2018,1234
40,60,---,10/08/2018,10/09/2018,5677
41,60,---,11/09/2018,07/10/2018,3422
42,60,---,08/10/2018,---,3532
43,60,09/10/2018,08/10/2018,---,1234
